epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.8826,2.11036,0,0.59571,3.88362,1.14858,0.99969,0.33333,0.37878,0.28609,0,0,0,0,1.82606,0,0.64721,2.22408,0.98901,0.0002858,0.0002858,0.0002858
2,134.923,1.84785,0,0.24803,1.89615,0.86536,0.60413,0.85168,0.64267,0.4251,0,0,0,0,1.29719,0,0.42341,1.43403,0.89686,0.00058009,0.00058009,0.00058009
3,236.637,1.49687,0,0.12442,1.38269,0.83341,0.71341,0.90818,0.86214,0.55773,0,0,0,0,1.19042,0,0.178,1.26309,0.84154,0.000868438,0.000868438,0.000868438
4,367.189,1.41871,0,0.0839,1.14174,0.82074,0.93,0.92952,0.97452,0.63966,0,0,0,0,1.15938,0,0.06671,0.95385,0.85347,0.00115084,0.00115084,0.00115084
5,487.995,1.32341,0,0.06227,0.93722,0.81892,0.97672,0.96319,0.98087,0.64186,0,0,0,0,1.1515,0,0.04481,0.80636,0.83914,0.00137241,0.00137241,0.00137241
6,616.546,1.391,0,0.04912,0.89079,0.81121,0.94342,0.94181,0.9564,0.56146,0,0,0,0,1.36102,0,0.01823,0.86298,0.86794,0.00135826,0.00135826,0.00135826
7,762.188,1.26731,0,0.03662,0.81106,0.80055,0.98434,0.96288,0.98845,0.68726,0,0,0,0,1.00533,0,0.01539,0.72943,0.82097,0.00134412,0.00134412,0.00134412
8,888.66,1.2348,0,0.03268,0.75078,0.80162,0.97537,0.97537,0.98604,0.641,0,0,0,0,1.1664,0,0.01425,0.71509,0.83425,0.00132997,0.00132997,0.00132997
9,1023.06,1.14763,0,0.02605,0.70023,0.80066,0.98271,0.9794,0.99161,0.719,0,0,0,0,0.93381,0,0.01016,0.61387,0.82054,0.00131582,0.00131582,0.00131582
10,1181.02,1.09514,0,0.02162,0.66856,0.79784,0.98186,0.9891,0.99201,0.67663,0,0,0,0,1.03199,0,0.00903,0.63899,0.82576,0.00130168,0.00130168,0.00130168
11,1323.27,1.13754,0,0.01851,0.68574,0.80048,0.97653,0.9814,0.98997,0.75049,0,0,0,0,0.86346,0,0.0109,0.61753,0.81218,0.00128753,0.00128753,0.00128753
12,1469.53,1.12604,0,0.01713,0.64837,0.79546,0.97628,0.98776,0.99264,0.7362,0,0,0,0,0.89561,0,0.0061,0.55767,0.81493,0.00127338,0.00127338,0.00127338
13,1607.53,1.06173,0,0.01512,0.62223,0.78553,0.97613,0.99074,0.99246,0.73661,0,0,0,0,0.86845,0,0.00691,0.57112,0.8236,0.00125923,0.00125923,0.00125923
14,1735.71,1.06683,0,0.01298,0.60686,0.78239,0.98496,0.99194,0.99214,0.75973,0,0,0,0,0.78876,0,0.00923,0.54124,0.80394,0.00124509,0.00124509,0.00124509
15,1914.96,1.12126,0,0.01267,0.61689,0.79848,0.98599,0.98796,0.99295,0.75114,0,0,0,0,0.84736,0,0.00572,0.52007,0.81263,0.00123094,0.00123094,0.00123094
16,2023.79,1.20579,0,0.01249,0.62084,0.79634,0.97561,0.98499,0.99167,0.76241,0,0,0,0,0.84207,0,0.00718,0.53167,0.81333,0.00121679,0.00121679,0.00121679
17,2133.87,1.0601,0,0.00996,0.58596,0.78885,0.98318,0.98757,0.98932,0.72215,0,0,0,0,0.91627,0,0.01039,0.56685,0.82346,0.00120265,0.00120265,0.00120265
18,2239.8,1.07049,0,0.01056,0.5768,0.7865,0.98554,0.99208,0.99333,0.76898,0,0,0,0,0.82927,0,0.00567,0.5242,0.81178,0.0011885,0.0011885,0.0011885
19,2346.71,1.01136,0,0.0098,0.55209,0.78858,0.97358,0.98144,0.98848,0.71482,0,0,0,0,0.92688,0,0.00415,0.51121,0.81623,0.00117435,0.00117435,0.00117435
20,2458.65,0.98932,0,0.00847,0.53056,0.79084,0.98499,0.99202,0.99265,0.72845,0,0,0,0,0.8983,0,0.00355,0.49967,0.81716,0.00116021,0.00116021,0.00116021
21,2565.59,0.96307,0,0.00862,0.51579,0.77759,0.98722,0.99221,0.99302,0.7872,0,0,0,0,0.75969,0,0.00447,0.456,0.8055,0.00114606,0.00114606,0.00114606
22,2676.58,0.92547,0,0.00758,0.50597,0.78182,0.9892,0.99691,0.99309,0.75181,0,0,0,0,0.84862,0,0.00333,0.4518,0.80981,0.00113191,0.00113191,0.00113191
23,2784.24,0.92221,0,0.00684,0.49176,0.76952,0.99118,0.99003,0.9938,0.74635,0,0,0,0,0.83442,0,0.00286,0.4736,0.80827,0.00111776,0.00111776,0.00111776
24,2894.87,0.90829,0,0.0064,0.48424,0.7714,0.981,0.98438,0.99233,0.79697,0,0,0,0,0.71582,0,0.00357,0.43291,0.80228,0.00110362,0.00110362,0.00110362
25,3003.84,0.90359,0,0.006,0.48415,0.77374,0.98765,0.99347,0.993,0.7887,0,0,0,0,0.72766,0,0.00308,0.41481,0.80211,0.00108947,0.00108947,0.00108947
26,3135.53,0.90673,0,0.00571,0.4729,0.77237,0.98955,0.99513,0.99317,0.78902,0,0,0,0,0.72771,0,0.00271,0.40579,0.80562,0.00107532,0.00107532,0.00107532
27,3245.94,0.92436,0,0.00577,0.46758,0.77356,0.98805,0.99689,0.99351,0.78812,0,0,0,0,0.73777,0,0.00263,0.41856,0.80505,0.00106118,0.00106118,0.00106118
28,3360.51,0.89812,0,0.00499,0.4635,0.77703,0.98847,0.99692,0.99308,0.78668,0,0,0,0,0.71697,0,0.00292,0.43992,0.80324,0.00104703,0.00104703,0.00104703
29,3475.54,0.89963,0,0.00471,0.46755,0.77372,0.98929,0.99725,0.9925,0.80266,0,0,0,0,0.69541,0,0.00263,0.40768,0.80416,0.00103288,0.00103288,0.00103288
30,3592.79,0.92366,0,0.00425,0.47118,0.7756,0.98624,0.99759,0.9926,0.80255,0,0,0,0,0.77394,0,0.00258,0.44755,0.81492,0.00101873,0.00101873,0.00101873
31,3725.14,0.88013,0,0.0042,0.46347,0.77595,0.99065,0.99514,0.99309,0.78614,0,0,0,0,0.74331,0,0.00231,0.4169,0.80816,0.00100459,0.00100459,0.00100459
32,3842.18,0.87216,0,0.00357,0.45429,0.77488,0.98992,0.9979,0.99348,0.78164,0,0,0,0,0.76354,0,0.00201,0.41121,0.80248,0.00099044,0.00099044,0.00099044
33,3968.26,0.86831,0,0.00337,0.44888,0.77358,0.98699,0.99852,0.99306,0.80822,0,0,0,0,0.68932,0,0.00193,0.39003,0.80316,0.000976293,0.000976293,0.000976293
34,4054.06,0.87203,0,0.00337,0.448,0.77674,0.98636,0.99953,0.9931,0.81532,0,0,0,0,0.64903,0,0.00179,0.37482,0.80201,0.000962146,0.000962146,0.000962146
35,4123.71,0.86953,0,0.00347,0.4412,0.77626,0.99048,0.99683,0.99377,0.81276,0,0,0,0,0.66636,0,0.00161,0.38003,0.80262,0.000947999,0.000947999,0.000947999
36,4194.04,0.82866,0,0.00333,0.43112,0.77086,0.99159,0.99931,0.99398,0.80344,0,0,0,0,0.70846,0,0.00129,0.39683,0.80061,0.000933851,0.000933851,0.000933851
37,4274.83,0.90428,0,0.00321,0.43518,0.76666,0.99133,0.99515,0.99403,0.73656,0,0,0,0,0.88356,0,0.00094,0.41993,0.80894,0.000919704,0.000919704,0.000919704
38,4352.16,0.9295,0,0.00277,0.44352,0.76396,0.99229,0.99851,0.99415,0.80078,0,0,0,0,0.69365,0,0.00125,0.38635,0.80213,0.000905557,0.000905557,0.000905557
39,4422.13,0.85633,0,0.00277,0.42534,0.77205,0.99043,0.99716,0.99369,0.82112,0,0,0,0,0.66955,0,0.00156,0.37035,0.80147,0.00089141,0.00089141,0.00089141
40,4493.67,0.86562,0,0.00238,0.42211,0.76835,0.98644,0.99459,0.99351,0.81288,0,0,0,0,0.69499,0,0.00171,0.37661,0.80371,0.000877263,0.000877263,0.000877263
41,4696.31,0.83333,0,0.00264,0.42184,0.76561,0.98932,0.99794,0.99312,0.82475,0,0,0,0,0.64291,0,0.00174,0.34992,0.80206,0.000863116,0.000863116,0.000863116
42,4847.09,0.82807,0,0.00266,0.41321,0.76854,0.99056,0.99465,0.994,0.81946,0,0,0,0,0.64513,0,0.00134,0.35628,0.80104,0.000848969,0.000848969,0.000848969
