epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,1944.68,0.97223,0.27861,0.05474,0.49035,0.80418,0.98489,0.98237,0.99129,0.7701,0.23551,0.23649,0.23313,0.15805,0.79963,0.14085,0.01827,0.45298,0.81654,0.00092825,0.00092825,0.00092825
28,2016.53,0.97472,0.2722,0.05522,0.49213,0.81233,0.9839,0.98939,0.99084,0.76589,0.22929,0.22973,0.22611,0.17506,0.75248,0.12978,0.01321,0.41468,0.81442,0.000915875,0.000915875,0.000915875
29,2088.92,0.92517,0.28772,0.06484,0.47749,0.80514,0.98013,0.99446,0.99065,0.75978,0.23608,0.23649,0.23623,0.19532,0.7632,0.09893,0.01344,0.40897,0.81827,0.0009035,0.0009035,0.0009035
30,2160.71,0.92132,0.25042,0.054,0.47201,0.80122,0.98387,0.99509,0.99171,0.79651,0.23607,0.23649,0.23361,0.18023,0.67821,0.10965,0.01289,0.40002,0.80832,0.000891125,0.000891125,0.000891125
31,2232.85,0.86506,0.25872,0.05647,0.45272,0.80341,0.9845,0.99456,0.99104,0.78908,0.22931,0.22973,0.22243,0.18986,0.69275,0.11307,0.01405,0.38032,0.81215,0.00087875,0.00087875,0.00087875
32,2305.04,0.84777,0.2597,0.05553,0.43711,0.79912,0.98827,0.98886,0.99281,0.77459,0.23607,0.23649,0.23106,0.19515,0.69897,0.10896,0.0121,0.38425,0.81253,0.000866375,0.000866375,0.000866375
33,2378,0.88948,0.24858,0.05275,0.45156,0.80058,0.98438,0.99306,0.99123,0.80052,0.22931,0.22973,0.22671,0.17447,0.64521,0.14489,0.01061,0.37571,0.80734,0.000854,0.000854,0.000854
34,2449.57,0.83695,0.18709,0.04758,0.43377,0.79411,0.98329,0.99409,0.9912,0.81043,0.23607,0.23649,0.23353,0.19872,0.64499,0.10652,0.01092,0.38067,0.80575,0.000841625,0.000841625,0.000841625
35,2521.85,0.86784,0.22873,0.05089,0.44079,0.7947,0.98328,0.99372,0.99164,0.79985,0.236,0.23649,0.23434,0.17765,0.6577,0.11827,0.01068,0.36615,0.80802,0.00082925,0.00082925,0.00082925
36,2593.3,0.82484,0.2209,0.05025,0.42959,0.79802,0.98396,0.98901,0.99203,0.80136,0.22894,0.22973,0.22089,0.18307,0.63898,0.1121,0.0097,0.36653,0.80679,0.000816875,0.000816875,0.000816875
37,2664.82,0.86217,0.21901,0.05305,0.43825,0.79421,0.98776,0.99307,0.99269,0.78709,0.23598,0.23649,0.23253,0.17326,0.69449,0.12129,0.01032,0.37261,0.80848,0.0008045,0.0008045,0.0008045
38,2736.06,0.84149,0.22231,0.05135,0.44271,0.79,0.98575,0.99515,0.99307,0.77592,0.22269,0.22297,0.21667,0.19538,0.76696,0.10593,0.00999,0.42129,0.80961,0.000792125,0.000792125,0.000792125
39,2807.68,0.86391,0.1825,0.04446,0.43137,0.79095,0.98921,0.99108,0.9929,0.78498,0.23606,0.23649,0.23518,0.19429,0.72136,0.09277,0.01109,0.37767,0.81159,0.00077975,0.00077975,0.00077975
40,2879.86,0.84899,0.18291,0.04778,0.42554,0.79115,0.98612,0.99454,0.99272,0.81303,0.23607,0.23649,0.23611,0.21112,0.62375,0.08154,0.01029,0.35675,0.80611,0.000767375,0.000767375,0.000767375
41,2951.59,0.81983,0.14966,0.04468,0.41611,0.77611,0.9876,0.99273,0.99134,0.81317,0.23605,0.23649,0.23775,0.20473,0.62449,0.08061,0.00861,0.36695,0.80352,0.000755,0.000755,0.000755
42,3024.4,0.82113,0.15691,0.04362,0.42147,0.78443,0.98567,0.99582,0.99268,0.79994,0.23607,0.23649,0.23629,0.21169,0.65027,0.0756,0.0091,0.37192,0.80797,0.000742625,0.000742625,0.000742625
43,3095.82,0.8058,0.18027,0.04429,0.40513,0.78706,0.986,0.99375,0.9924,0.80128,0.23604,0.23649,0.23567,0.22229,0.63408,0.07186,0.00935,0.34534,0.8052,0.00073025,0.00073025,0.00073025
44,3167.88,0.77928,0.14141,0.04213,0.40609,0.78851,0.98229,0.99204,0.99092,0.81359,0.23609,0.23649,0.23591,0.21646,0.64354,0.06646,0.00927,0.36422,0.80481,0.000717875,0.000717875,0.000717875
45,3239.38,0.82343,0.15153,0.04144,0.42177,0.79038,0.98611,0.99492,0.99232,0.79519,0.23615,0.23649,0.2346,0.21013,0.68375,0.07229,0.00926,0.36676,0.80859,0.0007055,0.0007055,0.0007055
46,3311.34,0.82971,0.16463,0.05048,0.4184,0.7918,0.98406,0.99068,0.9928,0.80611,0.2358,0.23649,0.23462,0.22225,0.67309,0.07159,0.00822,0.38731,0.80944,0.000693125,0.000693125,0.000693125
47,3383.53,0.81923,0.14735,0.04347,0.41581,0.79419,0.98603,0.99414,0.9929,0.81634,0.23604,0.23649,0.23555,0.22311,0.63192,0.06657,0.00807,0.35692,0.80279,0.00068075,0.00068075,0.00068075
48,3455.76,0.8241,0.14473,0.04104,0.41683,0.79201,0.98614,0.994,0.99275,0.80631,0.23594,0.23649,0.23549,0.22018,0.68001,0.06619,0.00823,0.37743,0.80818,0.000668375,0.000668375,0.000668375
49,3526.8,0.78652,0.15274,0.04664,0.40354,0.78465,0.9869,0.98448,0.99308,0.82444,0.23505,0.23649,0.23518,0.22119,0.62856,0.07454,0.00795,0.36971,0.80313,0.000656,0.000656,0.000656
50,3599.22,0.80356,0.16212,0.04749,0.41042,0.78816,0.98642,0.99516,0.99295,0.82605,0.2361,0.23649,0.23764,0.2265,0.60571,0.06915,0.00827,0.35136,0.80101,0.000643625,0.000643625,0.000643625
51,3670.96,0.78457,0.16817,0.04946,0.40461,0.78815,0.98451,0.9947,0.9916,0.8319,0.23616,0.23649,0.23793,0.21782,0.60657,0.0805,0.0091,0.34267,0.8025,0.00063125,0.00063125,0.00063125
52,3743.28,0.78497,0.16525,0.04413,0.40385,0.78509,0.98936,0.99329,0.99326,0.82389,0.23622,0.23649,0.23624,0.22451,0.62485,0.07287,0.00887,0.3434,0.80317,0.000618875,0.000618875,0.000618875
53,3814.47,0.77347,0.14695,0.04519,0.39318,0.78471,0.98568,0.99421,0.99301,0.82814,0.23606,0.23649,0.2362,0.21644,0.6327,0.07628,0.00868,0.34125,0.80534,0.0006065,0.0006065,0.0006065
54,3886.33,0.78799,0.12151,0.03868,0.3934,0.78599,0.98568,0.99456,0.99128,0.81494,0.23608,0.23649,0.2366,0.22136,0.67215,0.0719,0.00861,0.35844,0.80981,0.000594125,0.000594125,0.000594125
55,3958.64,0.81962,0.12683,0.04202,0.39793,0.79119,0.98569,0.99563,0.99278,0.82943,0.23606,0.23649,0.23584,0.22042,0.63177,0.06731,0.0088,0.34495,0.80245,0.00058175,0.00058175,0.00058175
