epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
11,95.126,0.84139,1.72126,2.9643,0.87631,0,0.00521,0.125,0.12508,0.11575,0,0,0,0,0.60252,1.23288,3.84317,0.86532,0,0.00018921,0.00018921,0.00018921
12,108.804,0.96624,1.68633,2.90047,0.83783,0,0.00535,0.125,0.12511,0.11577,0,0,0,0,0.56071,1.23865,3.82837,0.8315,0,0.000204953,0.000204953,0.000204953
13,125.134,0.82552,1.64567,2.70977,0.86657,0,0.00515,0.125,0.12506,0.11778,0,0,0,0,0.55237,1.2676,3.82065,0.83356,0,0.0002203,0.0002203,0.0002203
14,138.791,0.86377,1.64926,2.55453,0.85253,0,0.00478,0.125,0.12497,0.12497,0,0,0,0,0.55258,1.2542,3.83335,0.80791,0,0.000235251,0.000235251,0.000235251
15,152.398,0.80897,1.47293,2.36789,0.86039,0,0.00435,0.125,0.12486,0.11398,0,0,0,0,0.59753,1.29661,3.83221,0.82314,0,0.000249806,0.000249806,0.000249806
16,164.804,0.76758,1.48183,2.18422,0.87818,0,0.00398,0.125,0.12477,0.11229,0,0,0,0,0.64118,1.32436,3.81559,0.83912,0,0.000263965,0.000263965,0.000263965
17,177.329,0.78489,1.4915,2.10197,0.87308,0,0.00375,0.125,0.12471,0.1154,0,0,0,0,0.67261,1.33747,3.78465,0.81296,0,0.000277728,0.000277728,0.000277728
18,189.132,0.8934,1.40472,1.96026,0.83927,0,0.0035,0.125,0.12464,0.12007,0.00175,0.0625,0.04691,0.00469,0.66896,1.30362,3.76369,0.7928,0,0.000291095,0.000291095,0.000291095
19,198.477,0.91768,1.46161,1.85171,0.84557,0,0.00341,0.125,0.12462,0.12161,0.00341,0.125,0.12462,0.02805,0.67079,1.21084,3.72888,0.78622,0,0.000304066,0.000304066,0.000304066
20,205.301,0.79847,1.41285,1.66221,0.82831,0,0.00352,0.125,0.12465,0.12465,0.00352,0.125,0.12465,0.04134,0.61939,1.1257,3.69966,0.77838,0,0.000316641,0.000316641,0.000316641
21,212.092,0.84665,1.37838,1.63753,0.86009,0,0.00372,0.125,0.1247,0.1247,0.00372,0.125,0.1247,0.05301,0.6019,1.09032,3.67104,0.77513,0,0.00032882,0.00032882,0.00032882
22,219.061,0.76616,1.30027,1.51534,0.83139,0,0.00382,0.125,0.12472,0.12472,0.00382,0.125,0.12472,0.06345,0.63623,1.10189,3.63634,0.77294,0,0.000340603,0.000340603,0.000340603
23,226.752,0.91051,1.43355,1.40038,0.83206,0,0.00385,0.125,0.12473,0.12473,0.00385,0.125,0.12473,0.0655,0.6782,1.17089,3.58067,0.76932,0,0.00035199,0.00035199,0.00035199
24,234.46,0.84125,1.47233,1.59131,0.86783,0,0.00451,0.1875,0.12515,0.12511,0.00451,0.1875,0.12515,0.06575,0.66134,1.19594,3.54393,0.76155,0,0.000362981,0.000362981,0.000362981
25,242.071,0.7859,1.4296,1.38796,0.85446,0,0.00674,0.375,0.16765,0.15832,0.00674,0.375,0.16765,0.08894,0.61354,1.25119,3.51816,0.7652,0,0.000373576,0.000373576,0.000373576
26,252.097,0.87161,1.35057,1.25048,0.83884,0,0.00695,0.375,0.24924,0.24924,0.00695,0.375,0.24924,0.1317,0.56633,1.25482,3.49575,0.7517,0,0.000383775,0.000383775,0.000383775
27,264.572,0.77344,1.3965,1.20868,0.84656,0,0.00726,0.375,0.24933,0.2439,0.00726,0.375,0.24933,0.14338,0.64572,1.16816,3.46531,0.76961,0,0.000393578,0.000393578,0.000393578
28,277.593,0.7499,1.26176,1.26969,0.84144,0,0.00726,0.375,0.24933,0.2439,0.00726,0.375,0.24933,0.14338,0.64572,1.16816,3.46531,0.76961,0,0.000402985,0.000402985,0.000402985
29,292.831,0.93336,1.36413,1.19566,0.82966,0,0.00787,0.375,0.28011,0.26461,0.00787,0.375,0.28011,0.16345,0.71788,1.18962,3.46228,0.78907,0,0.000411996,0.000411996,0.000411996
30,303.172,0.931,1.39243,1.20215,0.83822,0,0.96744,0.125,0.3533,0.33879,0.96744,0.125,0.3533,0.19237,0.70639,1.15703,3.40273,0.77833,0,0.000420611,0.000420611,0.000420611
31,317.198,0.82384,1.26898,1.14358,0.83812,0,0.96744,0.125,0.3533,0.33879,0.96744,0.125,0.3533,0.19237,0.70639,1.15703,3.40273,0.77833,0,0.00042883,0.00042883,0.00042883
32,336.825,0.89096,1.20987,1.21944,0.83557,0,0.98145,0.125,0.37417,0.37417,0.98145,0.125,0.37417,0.2386,0.69272,1.08544,3.36971,0.7797,0,0.000436653,0.000436653,0.000436653
33,354.304,0.78715,1.20779,1.17599,0.82956,0,0.98299,0.125,0.37436,0.34619,0.98299,0.125,0.37436,0.24002,0.66865,1.10352,3.35953,0.80483,0,0.00044408,0.00044408,0.00044408
34,369.722,0.75979,1.31956,1.05973,0.83361,0,0.98299,0.125,0.37436,0.34619,0.98299,0.125,0.37436,0.24002,0.66865,1.10352,3.35953,0.80483,0,0.000451111,0.000451111,0.000451111
35,382.103,0.79847,1.22384,0.98481,0.83376,0,0.99585,0.125,0.37486,0.36922,0.99585,0.125,0.37486,0.25411,0.71609,1.02193,3.30885,0.84482,0,0.000457746,0.000457746,0.000457746
36,393.887,0.71011,1.18164,1.00662,0.84017,0,0.95646,0.125,0.37549,0.36944,0.95646,0.125,0.37549,0.26503,0.72984,0.96341,3.09571,0.80708,0,0.000463985,0.000463985,0.000463985
37,406.49,0.84522,1.15474,1.0474,0.81149,0,0.95646,0.125,0.37549,0.36944,0.95646,0.125,0.37549,0.26503,0.72984,0.96341,3.09571,0.80708,0,0.000469828,0.000469828,0.000469828
38,418.904,0.75982,1.37182,1.01647,0.84609,0,0.95317,0.125,0.3794,0.35339,0.95317,0.125,0.3794,0.28786,0.72335,0.95345,2.87687,0.77132,0,0.000475275,0.000475275,0.000475275
39,429.028,0.73369,1.17767,0.9736,0.85457,0,0.953,0.125,0.40023,0.36355,0.953,0.125,0.40023,0.30149,0.65048,0.98311,2.73855,0.78494,0,0.000480326,0.000480326,0.000480326
40,435.876,0.72036,1.12095,1.00479,0.84588,0,0.953,0.125,0.40023,0.36355,0.953,0.125,0.40023,0.30149,0.65048,0.98311,2.73855,0.78494,0,0.000484981,0.000484981,0.000484981
41,442.812,0.76581,1.13377,1.07472,0.84616,0,0.95368,0.125,0.44688,0.39361,0.95368,0.125,0.44688,0.31231,0.62979,1.07752,2.77241,0.78243,0,0.00048924,0.00048924,0.00048924
42,449.927,0.76855,1.29731,1.01923,0.85877,0,0.95631,0.125,0.45674,0.42788,0.95631,0.125,0.45674,0.29377,0.65798,0.99972,2.92881,0.78593,0,0.000493103,0.000493103,0.000493103
43,457.47,0.67931,1.17781,0.94049,0.85146,0,0.95631,0.125,0.45674,0.42788,0.95631,0.125,0.45674,0.29377,0.65798,0.99972,2.92881,0.78593,0,0.00049657,0.00049657,0.00049657
44,465.337,0.76551,1.13411,0.97758,0.83037,0,0.95687,0.125,0.4978,0.44752,0.95687,0.125,0.4978,0.31422,0.62442,0.93825,2.88489,0.78046,0,0.000499641,0.000499641,0.000499641
45,472.754,0.66598,1.18989,0.98543,0.86274,0,0.95687,0.125,0.4978,0.44752,0.95687,0.125,0.4978,0.31422,0.62442,0.93825,2.88489,0.78046,0,0.000502316,0.000502316,0.000502316
46,480.371,0.75089,1.107,0.97137,0.83558,0,0.95332,0.125,0.51772,0.46825,0.95332,0.125,0.51772,0.33123,0.60575,0.86346,2.59474,0.77142,0,0.000504595,0.000504595,0.000504595
47,487.99,0.70885,1.16439,0.93485,0.83679,0,0.95332,0.125,0.51772,0.46825,0.95332,0.125,0.51772,0.33123,0.60575,0.86346,2.59474,0.77142,0,0.000506478,0.000506478,0.000506478
48,495.742,0.7135,1.19725,0.86664,0.8344,0,0.95267,0.125,0.5456,0.48431,0.95267,0.125,0.5456,0.35101,0.61521,0.86641,2.25272,0.76,0,0.000507965,0.000507965,0.000507965
49,503.193,0.78919,1.27415,0.91808,0.81908,0,0.95267,0.125,0.5456,0.48431,0.95267,0.125,0.5456,0.35101,0.61521,0.86641,2.25272,0.76,0,0.000509056,0.000509056,0.000509056
50,510.848,0.76607,1.11502,0.91756,0.81405,0,0.95259,0.19683,0.57825,0.50381,0.95259,0.19683,0.57556,0.37422,0.5756,0.92844,2.03511,0.75742,0,0.000509751,0.000509751,0.000509751
51,518.293,0.74117,1.14483,0.90968,0.84888,0,0.95259,0.19683,0.57825,0.50381,0.95259,0.19683,0.57556,0.37422,0.5756,0.92844,2.03511,0.75742,0,0.000505,0.000505,0.000505
52,525.95,0.74239,1.25559,0.93463,0.8385,0,0.94352,0.375,0.60465,0.51671,0.94352,0.375,0.57153,0.38586,0.51874,0.93445,1.90024,0.75893,0,0.0004951,0.0004951,0.0004951
53,533.456,0.72139,1.19132,0.85031,0.84503,0,0.94352,0.375,0.60465,0.51671,0.94352,0.375,0.57153,0.38586,0.51874,0.93445,1.90024,0.75893,0,0.0004852,0.0004852,0.0004852
54,541.053,0.73637,1.1677,0.87453,0.81456,0,0.93688,0.38891,0.62051,0.53871,0.93688,0.38891,0.60588,0.40901,0.52539,0.9091,1.90646,0.74652,0,0.0004753,0.0004753,0.0004753
55,549.837,0.74467,1.22789,0.84306,0.8512,0,0.93688,0.38891,0.62051,0.53871,0.93688,0.38891,0.60588,0.40901,0.52539,0.9091,1.90646,0.74652,0,0.0004654,0.0004654,0.0004654
56,557.638,0.63365,1.04029,0.83945,0.82295,0,0.93058,0.39379,0.62624,0.55547,0.93058,0.39379,0.60101,0.36793,0.53457,0.87229,1.90655,0.74826,0,0.0004555,0.0004555,0.0004555
57,565.457,0.69985,1.1073,0.83853,0.83508,0,0.93058,0.39379,0.62624,0.55547,0.93058,0.39379,0.60101,0.36793,0.53457,0.87229,1.90655,0.74826,0,0.0004456,0.0004456,0.0004456
58,573.188,0.63222,1.11486,0.83312,0.82514,0,0.9254,0.39484,0.62926,0.56322,0.9254,0.39484,0.62105,0.37026,0.51335,0.7869,1.88601,0.74916,0,0.0004357,0.0004357,0.0004357
59,580.745,0.68212,1.19342,0.82639,0.85926,0,0.9254,0.39484,0.62926,0.56322,0.9254,0.39484,0.62105,0.37026,0.51335,0.7869,1.88601,0.74916,0,0.0004258,0.0004258,0.0004258
60,588.525,0.6598,1.25648,0.79443,0.84101,0,0.92229,0.39332,0.62809,0.55804,0.92229,0.39332,0.61876,0.37779,0.47317,0.7413,1.85294,0.74658,0,0.0004159,0.0004159,0.0004159
61,596.043,0.67798,1.13506,0.81557,0.82357,0,0.92229,0.39332,0.62809,0.55804,0.92229,0.39332,0.61876,0.37779,0.47317,0.7413,1.85294,0.74658,0,0.000406,0.000406,0.000406
62,2081.14,0.69111,1.106,0.78812,0.80538,0,0.91996,0.39173,0.6328,0.55957,0.91996,0.39173,0.62254,0.36966,0.47597,0.72485,1.77384,0.74383,0,0.0003961,0.0003961,0.0003961
63,2095.02,0.65423,0.98885,0.88542,0.85727,0,0.91996,0.39173,0.6328,0.55957,0.91996,0.39173,0.62254,0.36966,0.47597,0.72485,1.77384,0.74383,0,0.0003862,0.0003862,0.0003862
64,2109.41,0.66953,1.01674,0.79107,0.81555,0,0.92014,0.39354,0.63397,0.55375,0.92014,0.39354,0.59667,0.35981,0.501,0.72037,1.68832,0.74967,0,0.0003763,0.0003763,0.0003763
65,2121.42,0.63236,1.01682,0.84097,0.82756,0,0.92014,0.39354,0.63397,0.55375,0.92014,0.39354,0.59667,0.35981,0.501,0.72037,1.68832,0.74967,0,0.0003664,0.0003664,0.0003664
66,2134.58,0.61472,1.12124,0.76235,0.83133,0,0.92085,0.4222,0.63606,0.56771,0.89594,0.41667,0.57736,0.35265,0.4608,0.73636,1.61992,0.74893,0,0.0003565,0.0003565,0.0003565
67,2146.51,0.68643,1.18926,0.83916,0.81222,0,0.92085,0.4222,0.63606,0.56771,0.89594,0.41667,0.57736,0.35265,0.4608,0.73636,1.61992,0.74893,0,0.0003466,0.0003466,0.0003466
68,2160.05,0.68326,1.11888,0.79418,0.80496,0,0.92309,0.47752,0.6396,0.58846,0.88908,0.46363,0.5834,0.33866,0.43868,0.75286,1.55702,0.74899,0,0.0003367,0.0003367,0.0003367
69,2168.56,0.67699,1.11275,0.79295,0.8154,0,0.92309,0.47752,0.6396,0.58846,0.88908,0.46363,0.5834,0.33866,0.43868,0.75286,1.55702,0.74899,0,0.0003268,0.0003268,0.0003268
70,2175.07,0.57615,1.04014,0.71302,0.82352,0,0.92289,0.53315,0.66133,0.6129,0.9009,0.51926,0.60233,0.33986,0.40458,0.78292,1.46636,0.75173,0,0.0003169,0.0003169,0.0003169
71,2181.62,0.62642,0.93229,0.71166,0.81336,0,0.92289,0.53315,0.66133,0.6129,0.9009,0.51926,0.60233,0.33986,0.40458,0.78292,1.46636,0.75173,0,0.000307,0.000307,0.000307
72,2190.26,0.6035,0.9407,0.73191,0.8124,0,0.91884,0.57806,0.66844,0.62098,0.90203,0.56333,0.60327,0.35658,0.39026,0.78306,1.35886,0.74664,0,0.0002971,0.0002971,0.0002971
73,2202.71,0.59267,1.05738,0.70561,0.82608,0,0.91884,0.57806,0.66844,0.62098,0.90203,0.56333,0.60327,0.35658,0.39026,0.78306,1.35886,0.74664,0,0.0002872,0.0002872,0.0002872
74,2217.47,0.57027,1.02224,0.73782,0.85764,0,0.91478,0.60507,0.66951,0.62435,0.89968,0.59118,0.60429,0.34766,0.37374,0.7526,1.25495,0.73315,0,0.0002773,0.0002773,0.0002773
75,2230.47,0.61569,0.94549,0.75194,0.81643,0,0.91478,0.60507,0.66951,0.62435,0.89968,0.59118,0.60429,0.34766,0.37374,0.7526,1.25495,0.73315,0,0.0002674,0.0002674,0.0002674
76,2242.54,0.59487,0.95964,0.74094,0.82079,0,0.91216,0.61514,0.67131,0.61842,0.87919,0.58333,0.58689,0.32763,0.41948,0.71576,1.2092,0.73584,0,0.0002575,0.0002575,0.0002575
77,2257.83,0.63455,1.05799,0.73715,0.81576,0,0.91216,0.61514,0.67131,0.61842,0.87919,0.58333,0.58689,0.32763,0.41948,0.71576,1.2092,0.73584,0,0.0002476,0.0002476,0.0002476
78,2270.69,0.56991,0.92094,0.69445,0.82209,0,0.90934,0.625,0.70303,0.64311,0.87244,0.58333,0.58837,0.31475,0.44,0.73373,1.15535,0.73737,0,0.0002377,0.0002377,0.0002377
79,2282.33,0.58559,1.2246,0.77197,0.8274,0,0.90934,0.625,0.70303,0.64311,0.87244,0.58333,0.58837,0.31475,0.44,0.73373,1.15535,0.73737,0,0.0002278,0.0002278,0.0002278
80,2293.79,0.59371,0.96673,0.7324,0.79394,0,0.90701,0.625,0.76672,0.69434,0.86818,0.58333,0.5847,0.32426,0.43327,0.77242,1.06516,0.73808,0,0.0002179,0.0002179,0.0002179
81,2305.4,0.57152,0.95311,0.69888,0.82336,0,0.90701,0.625,0.76672,0.69434,0.86818,0.58333,0.5847,0.32426,0.43327,0.77242,1.06516,0.73808,0,0.000208,0.000208,0.000208
82,2316.7,0.62504,0.96168,0.71297,0.8074,0,0.91048,0.625,0.77792,0.71168,0.87126,0.58333,0.58417,0.32652,0.40986,0.77897,1.00811,0.73745,0,0.0001981,0.0001981,0.0001981
83,2323.46,0.64571,1.05634,0.71825,0.82014,0,0.91048,0.625,0.77792,0.71168,0.87126,0.58333,0.58417,0.32652,0.40986,0.77897,1.00811,0.73745,0,0.0001882,0.0001882,0.0001882
84,2330.16,0.55971,1.03304,0.70057,0.82405,0,0.91363,0.625,0.78405,0.71988,0.87582,0.58333,0.58479,0.32608,0.38087,0.77448,0.96361,0.73363,0,0.0001783,0.0001783,0.0001783
85,2336.88,0.62097,1.06699,0.67452,0.81638,0,0.91363,0.625,0.78405,0.71988,0.87582,0.58333,0.58479,0.32608,0.38087,0.77448,0.96361,0.73363,0,0.0001684,0.0001684,0.0001684
86,2343.75,0.53562,0.97393,0.67169,0.80069,0,0.91631,0.625,0.78594,0.71844,0.87949,0.58333,0.58551,0.32534,0.38666,0.77861,0.91843,0.73306,0,0.0001585,0.0001585,0.0001585
87,2351.27,0.60356,0.95977,0.76,0.83063,0,0.91631,0.625,0.78594,0.71844,0.87949,0.58333,0.58551,0.32534,0.38666,0.77861,0.91843,0.73306,0,0.0001486,0.0001486,0.0001486
88,2358.87,0.56153,1.06132,0.6455,0.80643,0,0.91854,0.625,0.78366,0.72258,0.87994,0.58333,0.58373,0.34748,0.3853,0.77202,0.86737,0.73262,0,0.0001387,0.0001387,0.0001387
89,2366.47,0.61682,1.09679,0.70612,0.81026,0,0.91854,0.625,0.78366,0.72258,0.87994,0.58333,0.58373,0.34748,0.3853,0.77202,0.86737,0.73262,0,0.0001288,0.0001288,0.0001288
90,2374.61,0.59933,0.98625,0.67332,0.82011,0,0.92144,0.625,0.78366,0.72383,0.88279,0.58333,0.58706,0.35171,0.37947,0.74966,0.8348,0.7329,0,0.0001189,0.0001189,0.0001189
91,2382.45,0.6189,1.11474,0.90381,0.81843,0,0.92144,0.625,0.78366,0.72383,0.88279,0.58333,0.58706,0.35171,0.37947,0.74966,0.8348,0.7329,0,0.000109,0.000109,0.000109
92,2389.9,0.63357,1.22738,1.00434,0.79077,0,0.92604,0.625,0.78417,0.72554,0.88682,0.58333,0.58579,0.35108,0.36839,0.72821,0.76792,0.72943,0,9.91e-05,9.91e-05,9.91e-05
93,2397.21,0.55419,1.15842,0.88328,0.79659,0,0.92604,0.625,0.78417,0.72554,0.88682,0.58333,0.58579,0.35108,0.36839,0.72821,0.76792,0.72943,0,8.92e-05,8.92e-05,8.92e-05
94,2404.59,0.56754,1.11617,0.92286,0.78455,0,0.89406,0.625,0.79571,0.73432,0.89068,0.58333,0.58636,0.34608,0.36746,0.69805,0.74177,0.72457,0,7.93e-05,7.93e-05,7.93e-05
95,2411.72,0.57705,1.09462,0.92761,0.7881,0,0.89406,0.625,0.79571,0.73432,0.89068,0.58333,0.58636,0.34608,0.36746,0.69805,0.74177,0.72457,0,6.94e-05,6.94e-05,6.94e-05
96,2419.11,0.59867,1.10788,0.84798,0.78848,0,0.89374,0.625,0.80009,0.73748,0.89518,0.58333,0.58507,0.3364,0.36842,0.67156,0.71581,0.7225,0,5.95e-05,5.95e-05,5.95e-05
97,2426.18,0.53978,1.00296,0.83244,0.80203,0,0.89374,0.625,0.80009,0.73748,0.89518,0.58333,0.58507,0.3364,0.36842,0.67156,0.71581,0.7225,0,4.96e-05,4.96e-05,4.96e-05
98,2433.28,0.55306,1.12937,0.8218,0.79975,0,0.89352,0.625,0.80411,0.73963,0.90028,0.58333,0.58076,0.34141,0.3696,0.68086,0.66895,0.72168,0,3.97e-05,3.97e-05,3.97e-05
99,2440.44,0.57961,1.07909,0.81786,0.79352,0,0.89352,0.625,0.80411,0.73963,0.90028,0.58333,0.58076,0.34141,0.3696,0.68086,0.66895,0.72168,0,2.98e-05,2.98e-05,2.98e-05
100,2447.67,0.48941,1.09473,0.81999,0.81616,0,0.89339,0.625,0.80122,0.73671,0.90616,0.58333,0.57611,0.3389,0.36143,0.67351,0.64436,0.71992,0,1.99e-05,1.99e-05,1.99e-05
