epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,8.06251,1.48938,6.6509,3.82323,1.09518,0,0.00717,0.375,0.09698,0.06634,0.00358,0.25,0.01357,0.0095,0.7291,8.00604,3.87041,0.9465,0,1e-05,1e-05,1e-05
2,15.0932,1.46918,6.32819,3.8095,1.07062,0,0.00601,0.375,0.16595,0.12584,0.0031,0.25,0.04146,0.02729,0.716,3.78424,3.88007,1.05693,0,2.9703e-05,2.9703e-05,2.9703e-05
3,22.5871,1.3163,4.3607,3.85819,1.13511,0,0.00542,0.375,0.10632,0.05279,0.00276,0.25,0.02314,0.0141,0.97366,1.94419,4.00318,1.03669,0,4.901e-05,4.901e-05,4.901e-05
4,29.5281,1.40171,3.00835,3.88886,1.07558,0,0.00593,0.375,0.06807,0.04476,0.00295,0.25,0.03431,0.02103,1.04282,1.67374,3.87541,1.04073,0,6.7921e-05,6.7921e-05,6.7921e-05
5,36.1456,1.21481,2.79742,3.78554,1.01782,0,0.0075,0.375,0.11926,0.08416,0.00377,0.25,0.07107,0.04352,0.98285,1.65041,3.84038,1.0003,0,8.6436e-05,8.6436e-05,8.6436e-05
6,42.9698,1.10471,2.33726,3.6291,0.95592,0,0.00983,0.375,0.14389,0.10657,0.0049,0.25,0.09045,0.06358,0.79968,1.45,3.82124,0.95216,0,0.000104555,0.000104555,0.000104555
7,49.7084,0.96409,2.02534,3.55533,0.89575,0,0.00789,0.25,0.16701,0.13173,0.00395,0.1875,0.08033,0.04913,0.66517,1.32409,3.86093,0.90468,0,0.000122278,0.000122278,0.000122278
8,57.9482,0.94476,2.01787,3.42311,0.8663,0,0.00543,0.125,0.12514,0.09705,0,0,0,0,0.69089,1.24834,3.86368,0.92885,0,0.000139605,0.000139605,0.000139605
9,70.279,0.92373,1.93745,3.23765,0.87499,0,0.00556,0.125,0.12517,0.09553,0,0,0,0,0.71493,1.24616,3.86406,0.90034,0,0.000156536,0.000156536,0.000156536
10,82.1211,0.92217,1.74721,3.1392,0.88642,0,0.00541,0.125,0.12513,0.1019,0,0,0,0,0.66989,1.23812,3.84995,0.88793,0,0.000173071,0.000173071,0.000173071
