epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,1394.33,0.92501,0.77645,0.66967,0.76919,0,0.97906,0.99123,0.98724,0.75838,0.78251,0.79383,0.76392,0.38482,0.69749,0.50586,0.6154,0.7176,0,0.000563446,0.000563446,0.000563446
29,1438.75,0.98164,0.88735,0.66483,0.75746,0,0.97631,0.99079,0.9868,0.74455,0.79168,0.80458,0.774,0.38605,0.70775,0.51806,0.6252,0.71671,0,0.000555833,0.000555833,0.000555833
30,1485.11,0.94019,0.85087,0.64344,0.76509,0,0.9804,0.98818,0.98577,0.74332,0.76266,0.77081,0.73192,0.38932,0.7172,0.46093,0.59165,0.7157,0,0.00054822,0.00054822,0.00054822
31,1530.57,0.94971,0.90112,0.64576,0.75569,0,0.97884,0.99001,0.98466,0.77076,0.79006,0.80183,0.74831,0.40148,0.62072,0.43267,0.56428,0.71361,0,0.000540607,0.000540607,0.000540607
32,1576.52,0.93134,0.78877,0.6332,0.74948,0,0.98126,0.98879,0.98473,0.76408,0.78481,0.79235,0.75963,0.3982,0.73569,0.4304,0.59667,0.72086,0,0.000532994,0.000532994,0.000532994
33,1621.89,0.91488,0.8593,0.61388,0.75557,0,0.98041,0.99005,0.98677,0.77324,0.81069,0.82042,0.77866,0.39796,0.61085,0.46723,0.56313,0.71789,0,0.000525381,0.000525381,0.000525381
34,1667.04,0.89529,0.82447,0.6132,0.76379,0,0.97815,0.98916,0.98784,0.76959,0.81847,0.82971,0.78763,0.40982,0.61663,0.42654,0.52647,0.71303,0,0.000517768,0.000517768,0.000517768
35,1713.39,0.93489,0.85037,0.60349,0.74442,0,0.97876,0.9899,0.98904,0.75918,0.80241,0.79844,0.76926,0.39083,0.67097,0.45718,0.54655,0.71369,0,0.000510155,0.000510155,0.000510155
36,1758.74,0.86157,0.81525,0.59116,0.75561,0,0.98008,0.98777,0.99031,0.77765,0.8381,0.8466,0.80526,0.40242,0.61332,0.44599,0.52352,0.71293,0,0.000502541,0.000502541,0.000502541
37,1814.02,0.89637,0.87052,0.58729,0.76077,0,0.9795,0.98636,0.99085,0.75736,0.7865,0.7963,0.75579,0.39011,0.67827,0.49666,0.53864,0.71589,0,0.000494928,0.000494928,0.000494928
38,1881.28,0.85037,0.78294,0.57909,0.76726,0,0.98029,0.99047,0.98975,0.78206,0.81704,0.82709,0.79134,0.41357,0.59467,0.45955,0.52144,0.71522,0,0.000487315,0.000487315,0.000487315
39,1955.11,0.9203,0.8749,0.59024,0.76187,0,0.9819,0.99123,0.99067,0.78703,0.82831,0.83788,0.80573,0.42596,0.59435,0.44578,0.51222,0.71621,0,0.000479702,0.000479702,0.000479702
40,2023.07,0.8574,0.76001,0.56945,0.76212,0,0.97846,0.98879,0.99101,0.79895,0.84646,0.8574,0.8334,0.46463,0.56433,0.41991,0.50718,0.71258,0,0.000472089,0.000472089,0.000472089
41,2092.47,0.83198,0.79785,0.57064,0.76835,0,0.97886,0.99436,0.99045,0.78898,0.84755,0.86232,0.83218,0.47276,0.64826,0.40954,0.50877,0.71156,0,0.000464476,0.000464476,0.000464476
42,2162.67,0.89134,0.84645,0.56481,0.75265,0,0.98208,0.99642,0.98902,0.78538,0.82085,0.83812,0.7759,0.42527,0.69089,0.41189,0.56452,0.71746,0,0.000456863,0.000456863,0.000456863
43,2236.91,0.91778,0.79999,0.59366,0.75924,0,0.98165,0.99647,0.98802,0.79003,0.85392,0.86773,0.81167,0.41873,0.58852,0.40777,0.5437,0.71137,0,0.00044925,0.00044925,0.00044925
44,2310.79,0.86912,0.81151,0.56598,0.75524,0,0.98118,0.99583,0.98785,0.78493,0.8685,0.88264,0.83805,0.43824,0.58851,0.40132,0.53878,0.71404,0,0.000441637,0.000441637,0.000441637
45,2392.16,0.83075,0.78028,0.55797,0.76068,0,0.97829,0.99029,0.98771,0.79064,0.87399,0.88615,0.85841,0.4533,0.59767,0.40161,0.50757,0.71562,0,0.000434024,0.000434024,0.000434024
46,2474.67,0.79905,0.75769,0.54554,0.75646,0,0.9808,0.98983,0.98665,0.79542,0.83959,0.84932,0.81522,0.44636,0.58511,0.44454,0.49768,0.71426,0,0.000426411,0.000426411,0.000426411
47,2546.2,0.86016,0.78405,0.53823,0.75273,0,0.98013,0.99035,0.98768,0.79145,0.84824,0.85871,0.82316,0.46135,0.59205,0.42579,0.4984,0.71437,0,0.000418797,0.000418797,0.000418797
48,2614.26,0.8223,0.71348,0.53296,0.75482,0,0.98113,0.98902,0.98602,0.78213,0.87328,0.88126,0.85308,0.4776,0.58826,0.43836,0.49574,0.71245,0,0.000411184,0.000411184,0.000411184
