epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,98.3749,1.82938,3.35132,3.97701,0.83575,0,0.03789,0.32941,0.32302,0.25729,0.0414,0.40997,0.32526,0.20769,1.21148,1.50574,4.25965,0.75393,0,0.0002222,0.0002222,0.0002222
2,202.114,1.56179,2.10954,2.34979,0.76298,0,0.01662,0.32941,0.31571,0.23651,0.02011,0.39528,0.31755,0.20869,1.09701,1.71877,4.03408,0.74748,0,0.000451,0.000451,0.000451
3,868.036,1.34092,2.01477,1.413,0.76802,0,0.01479,0.32733,0.32173,0.28659,0.0301,0.47384,0.33228,0.25765,1.02203,1.59052,3.72401,0.74244,0,0.000675181,0.000675181,0.000675181
4,1045.38,1.2783,1.83969,1.1421,0.76596,0,0.0165,0.46208,0.40787,0.3209,0.02281,0.51764,0.39997,0.24797,1.00312,1.52545,3.53094,0.75296,0,0.000894743,0.000894743,0.000894743
5,1207.89,1.17417,1.69054,0.97633,0.77363,0,0.05214,0.80566,0.64884,0.44423,0.04283,0.72874,0.49386,0.30348,0.98734,1.56822,2.94007,0.7456,0,0.001067,0.001067,0.001067
6,1376.02,1.22574,1.83762,0.93359,0.76821,0,0.88275,0.34982,0.78557,0.54353,0.6098,0.33767,0.53953,0.27702,1.1288,1.60835,2.06898,0.75495,0,0.00105601,0.00105601,0.00105601
7,1485.46,1.17068,1.73435,0.86058,0.76943,0,0.93744,0.77887,0.87491,0.61227,0.6373,0.55823,0.50176,0.30688,1.1121,1.40967,1.38532,0.75336,0,0.00104501,0.00104501,0.00104501
8,1633.48,1.11073,1.74756,0.80832,0.7655,0,0.94052,0.86861,0.89107,0.67488,0.7026,0.65838,0.55674,0.31296,0.80753,1.49406,0.95837,0.74214,0,0.00103401,0.00103401,0.00103401
9,1788.74,1.05577,1.62234,0.77971,0.76457,0,0.94565,0.86244,0.89197,0.69247,0.72864,0.71402,0.60861,0.35465,0.81188,1.63643,0.77254,0.74611,0,0.00102301,0.00102301,0.00102301
10,1959.56,1.04722,1.67856,0.75042,0.76795,0,0.97654,0.88097,0.90604,0.72013,0.83608,0.76294,0.70371,0.35934,0.72837,1.62109,0.71795,0.74864,0,0.00101201,0.00101201,0.00101201
11,2116.97,1.01441,1.68362,0.73293,0.76303,0,0.96036,0.87303,0.89777,0.71054,0.59376,0.51095,0.43788,0.2403,0.7673,1.80951,0.72115,0.7501,0,0.00100101,0.00100101,0.00100101
12,2277.34,1.06693,1.72342,0.72883,0.76446,0,0.96388,0.87411,0.91081,0.66397,0.71121,0.67285,0.59326,0.31879,0.90157,1.48198,0.67287,0.75752,0,0.000990012,0.000990012,0.000990012
13,2424.4,0.98152,1.57326,0.69497,0.76424,0,0.96735,0.88014,0.90658,0.70829,0.77398,0.72393,0.64463,0.33211,0.75635,1.36434,0.61442,0.74876,0,0.000979013,0.000979013,0.000979013
14,2586.06,1.04645,1.66292,0.70025,0.76418,0,0.97963,0.88743,0.90476,0.70722,0.85013,0.77202,0.70592,0.38894,0.75048,1.25376,0.64172,0.7517,0,0.000968014,0.000968014,0.000968014
15,2738.52,0.99542,1.62612,0.6616,0.76589,0,0.97817,0.88107,0.90863,0.70459,0.8287,0.75498,0.68156,0.36288,0.75605,1.23145,0.63103,0.74914,0,0.000957015,0.000957015,0.000957015
16,2889.72,0.96961,1.50652,0.64317,0.76121,0,0.97959,0.8853,0.90966,0.72616,0.82792,0.75237,0.69141,0.38682,0.69907,1.25928,0.56417,0.75064,0,0.000946016,0.000946016,0.000946016
17,3046.76,0.97776,1.53459,0.64205,0.76808,0,0.98164,0.8855,0.91527,0.69069,0.80822,0.73618,0.68233,0.37567,0.82794,1.53688,0.59319,0.75774,0,0.000935018,0.000935018,0.000935018
