epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.9069,2.1209,0,0.58258,3.989,1.17822,0.9933,0.31023,0.40649,0.27259,0,0,0,0,1.75279,0,0.63573,2.08666,0.97283,0.00035725,0.00035725,0.00035725
2,28.95,1.66567,0,0.21092,1.7417,0.86643,0.61573,0.87776,0.67669,0.4012,0,0,0,0,1.47357,0,0.2831,2.05993,0.94902,0.000721575,0.000721575,0.000721575
3,40.4399,1.4806,0,0.09833,1.33943,0.83531,0.78806,0.82075,0.84199,0.50919,0,0,0,0,1.2225,0,0.0919,0.88534,0.86492,0.00107854,0.00107854,0.00107854
4,51.291,1.35541,0,0.06716,1.09788,0.82461,0.96929,0.94128,0.97444,0.63893,0,0,0,0,1.03782,0,0.03133,0.67827,0.86318,0.00138656,0.00138656,0.00138656
5,61.9673,1.32015,0,0.04887,0.89101,0.82075,0.96433,0.95163,0.96047,0.53769,0,0,0,0,1.3663,0,0.01931,0.66768,0.87461,0.00137241,0.00137241,0.00137241
6,73.2399,1.31517,0,0.03402,0.8263,0.81669,0.98062,0.96551,0.97887,0.65959,0,0,0,0,1.01347,0,0.01916,0.54314,0.84079,0.00135826,0.00135826,0.00135826
7,84.6808,1.26167,0,0.02789,0.79551,0.80414,0.98075,0.96448,0.98349,0.66106,0,0,0,0,0.98985,0,0.01267,0.53717,0.83962,0.00134412,0.00134412,0.00134412
8,95.9528,1.17528,0,0.02327,0.7241,0.80198,0.97716,0.96971,0.98087,0.70044,0,0,0,0,0.88669,0,0.01292,0.48146,0.83675,0.00132997,0.00132997,0.00132997
9,107.303,1.11794,0,0.01636,0.682,0.80835,0.9802,0.97964,0.98699,0.71237,0,0,0,0,0.83718,0,0.00887,0.46329,0.82817,0.00131582,0.00131582,0.00131582
10,118.684,1.06255,0,0.0149,0.63289,0.80358,0.98332,0.97765,0.99029,0.71886,0,0,0,0,0.8329,0,0.00689,0.45563,0.82699,0.00130168,0.00130168,0.00130168
11,130.391,1.0843,0,0.01361,0.61204,0.79177,0.98194,0.98106,0.98669,0.71709,0,0,0,0,0.81841,0,0.00903,0.42995,0.82949,0.00128753,0.00128753,0.00128753
12,142.155,1.07779,0,0.01277,0.59364,0.79227,0.97365,0.99338,0.99123,0.73115,0,0,0,0,0.85433,0,0.00667,0.40842,0.83879,0.00127338,0.00127338,0.00127338
13,153.812,1.07098,0,0.00939,0.5838,0.80341,0.97779,0.99224,0.99136,0.72476,0,0,0,0,0.84352,0,0.00585,0.43965,0.83089,0.00125923,0.00125923,0.00125923
14,164.846,1.10691,0,0.00935,0.60401,0.79695,0.98147,0.98822,0.9915,0.72268,0,0,0,0,0.85677,0,0.00399,0.43399,0.82915,0.00124509,0.00124509,0.00124509
15,175.466,1.01655,0,0.00882,0.5571,0.79214,0.9765,0.99507,0.99066,0.73428,0,0,0,0,0.8087,0,0.00442,0.42284,0.82056,0.00123094,0.00123094,0.00123094
16,186.708,1.02798,0,0.00756,0.55394,0.79616,0.98475,0.99072,0.99085,0.7297,0,0,0,0,0.82642,0,0.0037,0.42644,0.81904,0.00121679,0.00121679,0.00121679
17,198.114,1.02638,0,0.00722,0.54047,0.78785,0.98313,0.9945,0.9906,0.69903,0,0,0,0,0.90442,0,0.00602,0.43377,0.82655,0.00120265,0.00120265,0.00120265
18,210.03,0.98325,0,0.00617,0.5038,0.78637,0.98129,0.99634,0.99122,0.76052,0,0,0,0,0.70014,0,0.00366,0.37341,0.81459,0.0011885,0.0011885,0.0011885
19,221.823,0.90604,0,0.00544,0.47189,0.78293,0.98514,0.99154,0.99123,0.71304,0,0,0,0,0.87457,0,0.00248,0.4283,0.82528,0.00117435,0.00117435,0.00117435
20,233.348,0.89082,0,0.00456,0.47053,0.78834,0.98555,0.99257,0.9918,0.76664,0,0,0,0,0.73868,0,0.00294,0.35593,0.82082,0.00116021,0.00116021,0.00116021
21,245.525,0.95148,0,0.00552,0.47372,0.79004,0.98728,0.99576,0.99161,0.76272,0,0,0,0,0.70988,0,0.00199,0.37627,0.81901,0.00114606,0.00114606,0.00114606
22,256.999,0.9144,0,0.0045,0.46142,0.78606,0.98758,0.98845,0.99118,0.77591,0,0,0,0,0.68847,0,0.00363,0.36504,0.81503,0.00113191,0.00113191,0.00113191
23,268.597,0.88985,0,0.00416,0.44559,0.78696,0.98723,0.99398,0.99073,0.75683,0,0,0,0,0.71021,0,0.0025,0.35773,0.81166,0.00111776,0.00111776,0.00111776
24,279.979,1.04068,0,0.00375,0.47928,0.78667,0.98141,0.99691,0.99172,0.77358,0,0,0,0,0.68387,0,0.00161,0.34284,0.81239,0.00110362,0.00110362,0.00110362
25,291.029,0.93162,0,0.00345,0.44964,0.78322,0.98067,0.99646,0.99204,0.77828,0,0,0,0,0.66993,0,0.00168,0.34747,0.8111,0.00108947,0.00108947,0.00108947
26,302.147,0.86986,0,0.00393,0.42933,0.78166,0.98273,0.99806,0.99118,0.78049,0,0,0,0,0.66238,0,0.00246,0.35376,0.81155,0.00107532,0.00107532,0.00107532
27,313.283,0.82149,0,0.00301,0.41572,0.78079,0.98447,0.99771,0.9919,0.77508,0,0,0,0,0.65349,0,0.00138,0.32798,0.80911,0.00106118,0.00106118,0.00106118
28,324.442,0.81971,0,0.00278,0.41951,0.77942,0.98844,0.99462,0.99111,0.74581,0,0,0,0,0.75674,0,0.001,0.37968,0.81856,0.00104703,0.00104703,0.00104703
29,335.672,0.8453,0,0.00283,0.42296,0.78083,0.98533,0.99795,0.99145,0.77155,0,0,0,0,0.67628,0,0.00124,0.36894,0.81325,0.00103288,0.00103288,0.00103288
30,347.405,0.80846,0,0.00255,0.41653,0.78277,0.98761,0.99395,0.99138,0.79306,0,0,0,0,0.63523,0,0.00086,0.33021,0.81103,0.00101873,0.00101873,0.00101873
31,359.119,0.81919,0,0.00232,0.40199,0.77512,0.98662,0.99589,0.99153,0.79659,0,0,0,0,0.62831,0,0.00081,0.32437,0.80873,0.00100459,0.00100459,0.00100459
32,370.614,0.83184,0,0.00225,0.41387,0.77069,0.98658,0.99862,0.99244,0.79569,0,0,0,0,0.61216,0,0.00091,0.32106,0.80597,0.00099044,0.00099044,0.00099044
33,382.39,0.81371,0,0.00211,0.40722,0.76794,0.98623,0.99797,0.99183,0.79407,0,0,0,0,0.61382,0,0.00086,0.32842,0.80724,0.000976293,0.000976293,0.000976293
34,394.406,0.8249,0,0.00238,0.40705,0.76991,0.98852,0.99728,0.99053,0.7953,0,0,0,0,0.64711,0,0.00116,0.3536,0.8112,0.000962146,0.000962146,0.000962146
35,405.257,0.79062,0,0.00191,0.39191,0.77644,0.98607,0.99531,0.9898,0.80605,0,0,0,0,0.61687,0,0.00103,0.33372,0.80689,0.000947999,0.000947999,0.000947999
36,416.053,0.80306,0,0.00202,0.39184,0.77057,0.98714,0.99698,0.99076,0.80258,0,0,0,0,0.6055,0,0.00072,0.3266,0.80534,0.000933851,0.000933851,0.000933851
37,426.955,0.80575,0,0.00196,0.3951,0.76973,0.99015,0.99119,0.99088,0.79817,0,0,0,0,0.61259,0,0.00094,0.3362,0.80742,0.000919704,0.000919704,0.000919704
38,438.816,0.78045,0,0.00175,0.38835,0.76934,0.9863,0.99569,0.9921,0.8095,0,0,0,0,0.59893,0,0.001,0.32665,0.80708,0.000905557,0.000905557,0.000905557
39,450.663,0.78753,0,0.0016,0.38957,0.77501,0.9898,0.99084,0.99158,0.80676,0,0,0,0,0.63744,0,0.00101,0.34846,0.80711,0.00089141,0.00089141,0.00089141
40,462.468,0.77228,0,0.00137,0.38653,0.77142,0.98871,0.99487,0.99171,0.79969,0,0,0,0,0.66891,0,0.00072,0.35882,0.81287,0.000877263,0.000877263,0.000877263
41,474.169,0.79917,0,0.00149,0.39366,0.77148,0.98853,0.99604,0.99145,0.81267,0,0,0,0,0.62383,0,0.00076,0.3331,0.80899,0.000863116,0.000863116,0.000863116
42,486.119,0.80346,0,0.00136,0.3946,0.77023,0.9899,0.99522,0.99094,0.80706,0,0,0,0,0.61734,0,0.00093,0.34299,0.80777,0.000848969,0.000848969,0.000848969
