epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.7714,2.15314,1.84452,0.67981,3.60552,1.14902,0.58413,0.68998,0.59984,0.3806,0,0,0,0,1.70293,1.76963,0.67429,2.74156,0.92627,0.000462724,0.000462724,0.000462724
2,37.3253,1.51203,1.00507,0.47024,1.59824,0.87901,0.70467,0.81632,0.79207,0.53082,0.30234,0.28814,0.29103,0.09474,1.45484,1.07583,0.45159,1.18761,0.88813,0.00092976,0.00092976,0.00092976
3,51.8099,1.40932,0.58947,0.34745,1.22421,0.85892,0.87089,0.85036,0.92865,0.60311,0.32307,0.32203,0.32807,0.25319,1.55293,0.46508,0.29528,0.94584,0.89637,0.00138737,0.00138737,0.00138737
4,67.1909,1.32502,0.32666,0.25165,0.9419,0.8378,0.9462,0.91606,0.95204,0.60343,0.30745,0.31921,0.30832,0.23616,1.51981,0.37641,0.17324,0.78052,0.89227,0.00138656,0.00138656,0.00138656
5,82.3236,1.2534,0.26971,0.1834,0.84489,0.82714,0.9527,0.92754,0.95476,0.57861,0.31042,0.31356,0.29392,0.22539,1.54728,0.36876,0.1104,0.82997,0.86977,0.00137241,0.00137241,0.00137241
6,98.0055,1.16534,0.26334,0.14916,0.76938,0.82504,0.9659,0.94957,0.97421,0.68887,0.31109,0.316,0.31168,0.25299,1.19722,0.36164,0.07906,0.61204,0.86297,0.00135826,0.00135826,0.00135826
7,113.437,1.14507,0.22628,0.1271,0.71272,0.82815,0.97276,0.95427,0.97907,0.62922,0.32426,0.32486,0.32136,0.25966,1.4055,0.27543,0.06667,0.67172,0.87945,0.00134412,0.00134412,0.00134412
8,129.175,1.13011,0.23812,0.12727,0.68448,0.82248,0.97553,0.96056,0.97756,0.72676,0.31931,0.32159,0.32518,0.2761,1.07111,0.22887,0.05115,0.56368,0.83841,0.00132997,0.00132997,0.00132997
9,145.107,1.01654,0.21015,0.10852,0.61418,0.81082,0.97362,0.95924,0.97728,0.71714,0.32216,0.32573,0.32749,0.29337,1.01519,0.18407,0.04148,0.54043,0.83138,0.00131582,0.00131582,0.00131582
10,160.046,0.96483,0.15752,0.09438,0.57657,0.80745,0.98893,0.96494,0.98322,0.75746,0.32211,0.32431,0.32885,0.30537,0.9742,0.15365,0.03402,0.53865,0.82059,0.00130168,0.00130168,0.00130168
11,174.905,0.96854,0.1305,0.09201,0.54972,0.79865,0.98923,0.95655,0.98047,0.67899,0.32772,0.33002,0.33105,0.3076,1.15802,0.12502,0.02952,0.53203,0.82909,0.00128753,0.00128753,0.00128753
12,190.16,0.96549,0.14441,0.09256,0.5393,0.79459,0.99076,0.96591,0.98171,0.76848,0.33053,0.33311,0.32951,0.30688,0.92596,0.11802,0.02818,0.48126,0.82021,0.00127338,0.00127338,0.00127338
13,205.583,0.92669,0.14864,0.08902,0.52419,0.79964,0.98572,0.96953,0.98276,0.74649,0.33053,0.33264,0.33153,0.31003,0.9719,0.10032,0.02851,0.502,0.81952,0.00125923,0.00125923,0.00125923
14,221.597,0.95476,0.13054,0.08182,0.52194,0.79556,0.98826,0.96584,0.98153,0.75384,0.33053,0.33269,0.33164,0.3015,0.98868,0.10643,0.02501,0.51432,0.82217,0.00124509,0.00124509,0.00124509
15,236.815,0.95357,0.11759,0.0832,0.52479,0.80842,0.98082,0.97427,0.9842,0.7663,0.33053,0.33311,0.33158,0.31631,1.02167,0.09412,0.02462,0.507,0.82859,0.00123094,0.00123094,0.00123094
16,253.004,0.89888,0.10142,0.07485,0.4928,0.79859,0.98901,0.97099,0.98686,0.79061,0.33019,0.33333,0.33161,0.32441,0.87062,0.07663,0.02125,0.46383,0.81473,0.00121679,0.00121679,0.00121679
17,267.969,0.88179,0.10021,0.07378,0.48632,0.79652,0.99032,0.96849,0.98543,0.78268,0.33022,0.33333,0.33167,0.32248,0.86892,0.06833,0.02251,0.45046,0.81309,0.00120265,0.00120265,0.00120265
18,282.851,0.88948,0.10481,0.07507,0.4786,0.7979,0.99282,0.97613,0.98786,0.75172,0.33265,0.33333,0.33167,0.32526,1.00613,0.08195,0.01871,0.47561,0.81784,0.0011885,0.0011885,0.0011885
19,297.795,0.81198,0.10346,0.07784,0.44254,0.79717,0.98943,0.97875,0.98872,0.78002,0.33021,0.33333,0.3315,0.32081,0.89466,0.07265,0.01639,0.45133,0.81649,0.00117435,0.00117435,0.00117435
20,312.966,0.91014,0.09302,0.06975,0.47941,0.79643,0.97657,0.96861,0.98397,0.78199,0.32688,0.33333,0.33161,0.32586,0.98992,0.05707,0.02238,0.48362,0.83191,0.00116021,0.00116021,0.00116021
21,328.05,0.87837,0.09308,0.07356,0.47488,0.78875,0.98767,0.97588,0.98474,0.79581,0.33254,0.33333,0.33167,0.32654,0.88058,0.05858,0.01833,0.45419,0.81882,0.00114606,0.00114606,0.00114606
22,343.137,0.88129,0.08305,0.0799,0.46612,0.79777,0.99087,0.97049,0.98813,0.80478,0.33026,0.33333,0.33153,0.32651,0.8616,0.05974,0.0178,0.44077,0.81905,0.00113191,0.00113191,0.00113191
23,359.663,0.85493,0.09406,0.07161,0.46846,0.79211,0.98374,0.97613,0.98796,0.78592,0.32944,0.33333,0.33164,0.32714,0.8726,0.0428,0.01912,0.45212,0.81235,0.00111776,0.00111776,0.00111776
24,375.939,0.86611,0.07088,0.06729,0.45888,0.79126,0.99202,0.97184,0.98566,0.80504,0.33028,0.33333,0.33161,0.32793,0.82797,0.05984,0.01565,0.42139,0.81255,0.00110362,0.00110362,0.00110362
25,391.607,0.85895,0.07571,0.05912,0.45175,0.7841,0.99491,0.9696,0.98774,0.80502,0.32672,0.32768,0.33031,0.32677,0.85186,0.07534,0.01458,0.43523,0.81404,0.00108947,0.00108947,0.00108947
26,407.31,0.84095,0.07044,0.06182,0.44499,0.78607,0.98955,0.97513,0.9877,0.8084,0.33022,0.33333,0.33105,0.32658,0.84858,0.05527,0.0127,0.41795,0.81301,0.00107532,0.00107532,0.00107532
27,422.527,0.80809,0.06594,0.06139,0.42686,0.79202,0.99413,0.97409,0.98805,0.81545,0.3248,0.32768,0.33063,0.32901,0.82757,0.06269,0.01521,0.41694,0.81172,0.00106118,0.00106118,0.00106118
28,438.567,0.83965,0.05965,0.05747,0.45398,0.78392,0.99346,0.97463,0.99095,0.80222,0.3301,0.33333,0.33167,0.32675,0.83331,0.04764,0.01312,0.42995,0.81162,0.00104703,0.00104703,0.00104703
29,454.331,0.81555,0.05575,0.05625,0.42906,0.78935,0.98867,0.98281,0.99096,0.76751,0.32764,0.33051,0.33144,0.32864,0.95407,0.05258,0.01174,0.45718,0.81403,0.00103288,0.00103288,0.00103288
30,470.223,0.88739,0.06953,0.05962,0.4482,0.7977,0.99498,0.97003,0.99063,0.80549,0.33032,0.33333,0.33153,0.32898,0.85515,0.04923,0.01168,0.43385,0.81188,0.00101873,0.00101873,0.00101873
31,486.522,0.80444,0.07246,0.05999,0.42199,0.78601,0.99353,0.97186,0.99131,0.80705,0.33038,0.33051,0.33136,0.32972,0.87452,0.04517,0.01124,0.44152,0.81485,0.00100459,0.00100459,0.00100459
