epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.188,2.26933,1.79632,0.67744,3.82586,1.1999,0.54706,0.68688,0.5664,0.37269,0.00151,0.08176,0.00119,0.00013,1.45048,1.60465,0.66757,1.68759,0.89309,0.0004287,0.0004287,0.0004287
2,31.7758,1.46757,0.98993,0.4538,1.57516,0.87261,0.65627,0.93091,0.74399,0.48435,0.30274,0.31447,0.2927,0.08548,1.24456,1.10345,0.45742,1.15379,0.85466,0.00086306,0.00086306,0.00086306
3,45.9762,1.35467,0.58842,0.31811,1.24047,0.85581,0.9461,0.95892,0.9686,0.67394,0.3141,0.33019,0.31866,0.2257,1.15976,0.5044,0.27907,0.99298,0.8593,0.00128865,0.00128865,0.00128865
4,60.4002,1.4067,0.38132,0.25021,1.0616,0.85027,0.96964,0.95437,0.9782,0.68064,0.32322,0.33333,0.32893,0.26027,1.06514,0.19785,0.18274,0.88029,0.84716,0.00138656,0.00138656,0.00138656
5,74.357,1.24628,0.26184,0.1794,0.8795,0.83262,0.96582,0.97463,0.98029,0.69683,0.32334,0.33333,0.32811,0.2895,1.02669,0.13683,0.12268,0.62365,0.82475,0.00137241,0.00137241,0.00137241
6,88.4736,1.15163,0.19293,0.14791,0.78588,0.82123,0.97838,0.96215,0.97853,0.70817,0.32387,0.33333,0.32488,0.2999,1.03684,0.11772,0.07417,0.58885,0.82638,0.00135826,0.00135826,0.00135826
7,101.908,1.07863,0.16992,0.11512,0.7054,0.81483,0.98043,0.97298,0.98251,0.75138,0.3207,0.33019,0.31977,0.29797,0.82649,0.09219,0.05356,0.45516,0.81315,0.00134412,0.00134412,0.00134412
8,114.701,1.0739,0.18525,0.10479,0.66791,0.81231,0.97259,0.98126,0.9787,0.74545,0.32386,0.33333,0.32412,0.30416,0.87259,0.08179,0.03729,0.47304,0.81035,0.00132997,0.00132997,0.00132997
9,127.47,1.08903,0.1526,0.09997,0.64206,0.80842,0.9822,0.97456,0.98557,0.75227,0.32376,0.33333,0.32859,0.3118,0.86504,0.06997,0.03227,0.46791,0.80933,0.00131582,0.00131582,0.00131582
10,140.27,1.08521,0.15417,0.08664,0.63082,0.80731,0.97512,0.98144,0.98415,0.75968,0.3238,0.33333,0.32706,0.31645,0.82293,0.06374,0.02355,0.4793,0.80513,0.00130168,0.00130168,0.00130168
