epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,387.181,0.83701,0.79621,0.84177,0.90156,0.28013,0.57782,0.44312,0.89615,2.47794,0.84475,0.000616379,0.000616379,0.000616379
43,395.379,0.7599,0.76244,0.86744,0.90156,0.28013,0.57782,0.44312,0.89615,2.47794,0.84475,0.000620713,0.000620713,0.000620713
44,403.874,0.80686,0.78453,0.86185,0.9039,0.23681,0.61579,0.48584,0.81066,2.31718,0.85673,0.000624551,0.000624551,0.000624551
45,412.185,0.77187,0.75402,0.86857,0.9039,0.23681,0.61579,0.48584,0.81066,2.31718,0.85673,0.000627895,0.000627895,0.000627895
46,420.36,0.79014,0.73575,0.86722,0.90301,0.26296,0.65694,0.51694,0.79345,2.17906,0.85828,0.000630744,0.000630744,0.000630744
47,428.848,0.78467,0.74961,0.87401,0.90301,0.26296,0.65694,0.51694,0.79345,2.17906,0.85828,0.000633098,0.000633098,0.000633098
48,437.362,0.80305,0.73558,0.83429,0.91762,0.27598,0.71201,0.56236,0.75836,2.07479,0.87115,0.000634956,0.000634956,0.000634956
49,445.761,0.71982,0.71124,0.83833,0.91762,0.27598,0.71201,0.56236,0.75836,2.07479,0.87115,0.00063632,0.00063632,0.00063632
50,453.968,0.70912,0.70173,0.86336,0.97457,0.30224,0.75243,0.58626,0.80919,1.98162,0.89369,0.000637189,0.000637189,0.000637189
51,464.685,0.75154,0.71828,0.86169,0.97457,0.30224,0.75243,0.58626,0.80919,1.98162,0.89369,0.00063125,0.00063125,0.00063125
52,478.38,0.79646,0.72141,0.84219,0.99766,0.36419,0.76324,0.60057,0.77833,1.86068,0.89131,0.000618875,0.000618875,0.000618875
53,493.795,0.72173,0.72989,0.86351,0.99766,0.36419,0.76324,0.60057,0.77833,1.86068,0.89131,0.0006065,0.0006065,0.0006065
54,506.92,0.75353,0.71201,0.8571,0.99559,0.47444,0.7669,0.62763,0.69733,1.72571,0.84761,0.000594125,0.000594125,0.000594125
55,519.243,0.7312,0.7169,0.85506,0.99559,0.47444,0.7669,0.62763,0.69733,1.72571,0.84761,0.00058175,0.00058175,0.00058175
56,532.779,0.71478,0.69364,0.86778,0.98962,0.55244,0.77,0.63252,0.69519,1.60971,0.81618,0.000569375,0.000569375,0.000569375
57,545.62,0.75071,0.69534,0.86758,0.98962,0.55244,0.77,0.63252,0.69519,1.60971,0.81618,0.000557,0.000557,0.000557
58,558.868,0.81413,0.72948,0.84283,0.96792,0.63569,0.76961,0.6374,0.68617,1.47835,0.8118,0.000544625,0.000544625,0.000544625
59,573.089,0.75827,0.67471,0.83139,0.96792,0.63569,0.76961,0.6374,0.68617,1.47835,0.8118,0.00053225,0.00053225,0.00053225
60,585.883,0.71192,0.6857,0.84468,0.97095,0.70495,0.76906,0.62793,0.68876,1.34428,0.81603,0.000519875,0.000519875,0.000519875
61,598.01,0.69366,0.67144,0.85076,0.97095,0.70495,0.76906,0.62793,0.68876,1.34428,0.81603,0.0005075,0.0005075,0.0005075
62,610.899,0.74041,0.69812,0.84164,0.96315,0.72306,0.77243,0.61898,0.69667,1.2005,0.81763,0.000495125,0.000495125,0.000495125
63,626.866,0.70455,0.6831,0.85652,0.96315,0.72306,0.77243,0.61898,0.69667,1.2005,0.81763,0.00048275,0.00048275,0.00048275
64,638.097,0.75713,0.67081,0.8377,0.96294,0.74723,0.77275,0.62443,0.67939,1.0816,0.81685,0.000470375,0.000470375,0.000470375
65,651.578,0.64287,0.63263,0.84025,0.96294,0.74723,0.77275,0.62443,0.67939,1.0816,0.81685,0.000458,0.000458,0.000458
